제목,주소,키워드,종목코드,날짜
[투자노트] 전쟁터에서도 부자는 나온다,http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103100410.html,"장기 중국
중국 위주
집계
매수
또한 상당
상당 규모
연기금 자금
A 연기금 경우
경우 부동산 ,
쪽 돈",000660,2018-10-31
[마켓뷰] 소방수 연기금 등장에 엿새만에 상승…개미는 이틀간 1.4조 손절,http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103002282.html,"순 매수 반면
정부 자동차
자동차 소비 세
소비 세 인하
인하 결정 ,
결정 , 은행
은행 3 분기
호실 발표
1 % 대의 견조
견조 상승세",000660,2018-10-30
반도체株 견인에 코스피 2000선 회복…中증시 하락 개장 '아슬아슬',http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103001115.html,"자동차 구매 세
구매 세 인하
인하 발표
발표 힘
힘 유럽
주가 강세
하락 개장
상승 폭 반납
지수 반영
미국 상무부",000660,2018-10-30
"SK하이닉스, '2022 에코비전' 발표…친환경 반도체 공장 만든다",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103001003.html,"환경 , 안전 ,
SK 하이닉스 기업
기업 시민
것 라며
것 라며 2022
ECO ,
, SV
선언
생태계 지속
지속 사회",000660,2018-10-30
"[특징주] 삼전·하이닉스 급반등…美, 中 반도체 굴기에 제동",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103000935.html,"중국 D 램
성명 통해
통해 외국
외국 회사
회사 국가
활동
조처
칩 능력
능력 미국
미국 군사",000660,2018-10-30
"STX중공업, 대구 달서구 호산동 토지‧건물 635억원에 처분",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110202736.html,"STX 중공업 ( 071970 ) 은 대구광역시
대구광역시 달서구
달서구 호 산동
토지 및
및 건물
처분 고 2 일
상대 피티 제이 호
처분 목적
처분 목적 재무 구조 개선 ( 회생 담보",071970,2018-11-02
"STX중공업, 보통주 6086만7501주 감자 결정",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110202642.html,"STX 중공업 ( 071970 ) 은 재무 구조
재무 구조 개선
개선 위해
위해 보통주
STX 중공업
오전 9 시
9 시 매매 거래
8 1
감자 비율",071970,2018-11-02
"[특징주] 회생 절차 밟는 STX중공업, 자산 매각 소식에 상승",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110201130.html,"전날 장
공시 통해
통해 경상남도
경상남도 창원시
창원시 성산구
성산구 소재
소재 토지
토지 건물
건물 및
및 기계 장치",071970,2018-11-02
"고려개발, 2018년 3분기 영업익 98억원…전년 比 9.9%↓",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102532.html,"동기 대비
고려개발 ( 004200 ) 은 올해
올해 3 분기
3 분기 영업 이익
기록 1 일
기간
기간 매출 액
매출 액 전년
순이익
3 %",004200,2018-11-01
"고려아연, 2018년 3분기 영업익 1951억원…전년 比 4.2% 증가",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103000954.html,"고려아연 ( 010130 ) 은 2018 년
3 분기 연결 기준
연결 기준 영업 이익
2 % ,
, 매출 액
매출 액 1 조 7734 억원
7 %
30 일",010130,2018-10-30
"현대차, 10월 판매 전년比 0.9% 증가…기아차도 4.2% 늘어",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102828.html,"현대차 관계자
관계자 해외
해외 시장
시장 판매
판매 감소
감소 글로벌
글로벌 무역
중국 자동차
자동차 수요
수요 감소",000270,2018-11-01
"임팔라 620만원, QM6 400만원...車 파격할인",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102654.html,"K 5 와 K 7 은
잔 보장
현대차
현대차 조기 출고
조기 출고 우대 조건
우대 조건 통해
19 일 30 일
15 만원 , 다음 달
다음 달 3 일
3 일 11 일",000270,2018-11-01
"현대차 美 법인장 '잔혹사', 1년 만에 또 경질",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102302.html,"법인 경질
관계자 거대 시장
거대 시장 미국
판매 감소
고급 전략
실패 본사
본사 전체
전체 실적
영향 며
체제",000270,2018-10-31
[마켓뷰] 中증시 약세에 코스피도 뒷심부족…기관 이틀째 '팔자',http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102679.html,"경기 회복
회복 대한
연구원 당분간
코스피지수 2000 선
2000 선 전후
11 월 초 중순
초 중순 한국
증시 안전판
안전판 확보
이경민 대신 증권",151910,2018-11-01
"코스피지수 상승 출발…\페이스북 호실적·북미 고위회담이 호재\""""",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110100894.html,"서상영 증권
상승 마감 덕분
덕분 한국
증시 투자
투자 심리
심리 개선
개선 다음
주 미국
미국 북한
회담 개최",151910,2018-11-01
"[마켓뷰] 이틀째 오르며 '잔인한 10월' 마감…코스닥, 한달간 21.1% 뚝",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102300.html,"외국인 순 매도
증권 연구원
연구원 아시아
아시아 시장
시장 견고
견고 모습
모습 보이
보이 한국
한국 증시
순 매도 이어진",151910,2018-10-31
"남양유업 '이물질 분유 논란'에 \공정상 이물질 혼입 절대 불가\""""",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103002253.html,"대표 최근
물질 루머
루머 소비자
소비자 불안
일 계기
세계 최고
수준 최신
분유 설비
모든 소비자
소비자 언론",003920,2018-10-30
[마켓뷰] 소방수 연기금 등장에 엿새만에 상승…개미는 이틀간 1.4조 손절,http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103002282.html,"순 매수 반면
정부 자동차
자동차 소비 세
소비 세 인하
인하 결정 ,
결정 , 은행
은행 3 분기
호실 발표
1 % 대의 견조
견조 상승세",251270,2018-10-30
"넷마블, 주가 안정 위해 자사주 2000억원 규모 매입 결정",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103002116.html,"취득 방법
통한 장내
장내 직접
직접 취득
취득 취득
취득 예상
예상 기간
10 월 31 일
넷마블 관계자
관계자 이번",251270,2018-10-30
"GC녹십자, 3Q 영업익 280억원…전년비 33.3% 감소",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103001983.html,"GC 녹십자 측은
부진 백신
백신 상품
판매 정상화
정상화 축소
축소 외형
외형 4 분기
4 분기 바로
며 외형
외형 확대",006280,2018-10-30
[투자노트] 글로벌 금융위기 당시 '찌라시'의 추억,http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110100532.html,"한국 철수 설 ,
와 생각
STX 회사채
회사채 디폴트 설 ,
디폴트 설 , 우리 투자 증권
우리 투자 증권 유동성
유동성 부족 설 ,
부족 설 , 모
오너 위 독설 ,
감원 설 , 하이닉스",000210,2018-11-01
"런천미트 세균은 대장균…\제조 과정에서 나올 수 없어\""""",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102555.html,"원인
제품 생산
대상 제품
고객
캔햄 제품
제품 환불
식약처 세균 발육 시험
제품 모두
모두 대장균
5 개 전",001680,2018-10-31
"대우건설, 2018년 3분기 영업익 1915억원…전년 比 68.6% 증가",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103002284.html,"대우건설 ( 047040 ) 은 연결
연결 기준
3 분기 매출
2017 년 3 분기
9 % ,
, 영업 이익
영업 이익 1915 억원
6 %
30 일",047040,2018-10-30
"조선업, 수주 느는데…실적쇼크 왜",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110201258.html,"조선 사 올해
초대형
초대형 유조선 (( Very
유조선 (( Very Large
Large Crude
Crude Oil
전체 비용
부담 국내
전체 선박
선박 건조",042660,2018-11-02
"조선3사, 올해 수주목표 '빨간불'…해양플랜트가 발목",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103001924.html,"최대 20 억 달러
로즈 뱅크
로즈 뱅크 해양 플랜트
해양 플랜트 사업
위해 노력
노력 중 ,
미국
분 전량
국영 석유 회사
매각 일정",042660,2018-10-30
원수같던 거래정지 종목이 효자?...'증시 패닉에 희화화',http://biz.chosun.com/site/data/html_dir/2018/10/29/2018102902674.html,"투자자 온라인
상장 격 실질 심사
황 세운
연구 위원 투자자
투자자 거래 정지
상황 희화
희화 의도
위축
증시 중
등 각종",069460,2018-10-30
"동원F&B;, 3분기 영업이익 383억원…전년比 28% 늘어",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110201844.html,"전년 동기
동기 대비
동원 F & B ;( 049770 ) 3 분기
3 분기 영업 이익
영업 이익 383 억원
매출
매출 7893 억원
3 %
2 일",049770,2018-11-02
"㈜두산,  2년 연속 영업익 1조 돌파…3분기 누적 1조503억원",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102927.html,"3 분기 누적
산업 용 지게차
신규 거래처
거래처 확보
확보
판매량 확대
확대 국내 시장
점유 율 상승
상승 3 분기
유압부품",000150,2018-10-31
