제목,주소,키워드,종목코드,날짜
"[리포트 인터뷰] 양지혜 \면세점·화장품주 반등이 시작됐다\""""",http://biz.chosun.com/site/data/html_dir/2018/03/13/2018031301291.html,"시내
내 명품
수요 견조
견조 가운데
가운데 웨이
성장 세도 당분간
이후 이
판매 수
과정
규모 단기간",023530,2018-03-13
10대그룹 사외이사 3명 중 1명은 권력기관 출신…롯데가 가장 많아,http://biz.chosun.com/site/data/html_dir/2018/03/12/2018031201623.html,"공정위 사무 처
장관 겸
이재원 전
박용석 전
변동 걸 전
전 서울 중앙 지방법원 ,
회장 등
재벌
선임 재 선임
중 부처",023530,2018-03-12
"롯데물산, 롯데인천개발 주식 67.5% 인수... \인천터미널 복합쇼핑몰로 개발\""""",http://biz.chosun.com/site/data/html_dir/2018/02/28/2018022801600.html,"관계자 롯데 월드 타워
롯데 월드 타워 롯데 월드
롯데 월드
단지 백화점
랜드마크
통해 롯데 물산
분율 우선주
우선주 보통주
보통주 전환 시
신세계 백화점",023530,2018-02-28
[롯데지주 주총] 순환출자 해소...신동빈 회장 지배력 강화,http://biz.chosun.com/site/data/html_dir/2018/02/27/2018022702005.html,"부재 속
시간
롯데 정통
정통 관계자
관계자 황각규
일본 경영 진
오너
며 신
회장 대한
대한 2 심",023530,2018-02-27
'지주 연대보증' 롯데 주요 계열사 신용등급 전망 하향,http://biz.chosun.com/site/data/html_dir/2018/02/27/2018022701104.html,"실적 저하
이인영
이인영 나이스 신평
나이스 신평 수석 연구원
수석 연구원 핵심 사업인
핵심 사업인 국내
저하 추세
추세 향후
향후 수익
수익 회복",023530,2018-02-27
"[투자노트] 금리 올리면 힘들어질 업종, 미리 체크하라",http://biz.chosun.com/site/data/html_dir/2018/02/27/2018022700481.html,"크레딧 담당
등급 기업
기업 중
등급 안전성
안전성 악화
악화 가능성
가능성 주목
주목 시점 라며
시점 라며 신평 사
신평 사",023530,2018-02-27
"[단독] 신동주 \신격호 회장 지분 위임 효력 확인해달라\"" 소송 제기""",http://biz.chosun.com/site/data/html_dir/2018/02/26/2018022600939.html,"의결권 행사
행사 대한
신동빈 롯데 그룹
분 대한
회장 대한
한정 후견 결정
한편
회장 구속
구속 후
후 첫",023530,2018-02-26
[마켓뷰] 사드 보복주 기지개…코스피 반등했으나 美연준에 촉각,http://biz.chosun.com/site/data/html_dir/2018/02/21/2018022102407.html,"반면
이경민
이경민 대신 증권
팀 한중
관계 개선
개선 대한
기 대감 중국
중국 소비
실적 개선
개선 수",023530,2018-02-21
"[특징주] 롯데그룹주, 신동빈 회장 구속 소식에 동반 하락세",http://biz.chosun.com/site/data/html_dir/2018/02/14/2018021400915.html,"전날
전날 서울중앙지법
부장 판사 ) 뇌물
공 혐의
혐의 기소
기소 신
회장 징역
징역 2 년
2 년 6 개월
6 개월 실형",023530,2018-02-14
"\롯데쇼핑, 배당 2배 이상 확대...주주 환원 정책 강화\"" - 이베스트""",http://biz.chosun.com/site/data/html_dir/2018/02/09/2018020900707.html,"지난 해
오 연구원
연구원 구조조정
구조조정 2018 년
2018 년 개선
개선 ,
중국 할인점
할인점 매각
매각 또한
또한 최근",023530,2018-02-09
'사드 직격탄' 롯데쇼핑 영업이익 31% 급감... 마트 적자폭 2배 이상 늘어(종합),http://biz.chosun.com/site/data/html_dir/2018/02/08/2018020802749.html,"롯데 쇼핑 관계자
2 배 이상
관계자 사드
사드 이슈
이슈 영향
영향 지난해
지난해 백화점
백화점 마트
마트 등
등 주요",023530,2018-02-08
"롯데쇼핑, 지난해 영업이익 5303억원... 전년比 30.5% 줄어",http://biz.chosun.com/site/data/html_dir/2018/02/08/2018020802355.html,"기록 것
롯데 쇼핑 ( 023530 ) 은 지난해
지난해 연결 기준
연결 기준 영업 이익
영업 이익 5303 억원
5303 억원 2016 년
매출 18 조 1798 억원
5 %
8 일
순 손실 205 억원",023530,2018-02-08
5년간 종업원 많이 늘어난 기업…이마트·현대차·스타벅스 코리아,http://biz.chosun.com/site/data/html_dir/2018/02/04/2018020400334.html,"최근 1 년
4 일
30 그룹
그룹 종업원
종업원 300 인
300 인 이상
이상 계열 사의
계열 사의 종업원
결과
5 년 이마트 ,",023530,2018-02-04
"'CJ제일제당' 간판 다는데 260억...브랜드 사용료, 유통사 중 1위",http://biz.chosun.com/site/data/html_dir/2018/02/02/2018020200378.html,"이름
사용 료 매출
매출
66 %, 순이익
비중 145 %
달 상위
상위 대기업
대기업 20 곳
20 곳 중
비중 가장",023530,2018-02-02
"롯데百, 내달 패션사업부 분사 추진...'현대·신세계 추격 '",http://biz.chosun.com/site/data/html_dir/2018/01/23/2018012301050.html,"명품 브랜드
국내 판권
판권 보유
독립 것
것 최근
최근 트렌드
트렌드 백화점 ,
백화점 , 복합
복합 쇼핑몰 ,
쇼핑몰 , 인터넷",023530,2018-01-23
"'신동빈의 남자' 황각규, 마산의 수재 별명 붙은 '화학통'",http://biz.chosun.com/site/data/html_dir/2018/01/10/2018011001862.html,"호텔 및
2 월 조직
조직 개편
개편 통해
통해 전
계 열사 유통 ,
화학 4 개
Unit )
이원준
이원준 유통 BU 장 ,",023530,2018-01-10
"롯데정밀화학, 3분기 영업익 489억…\염소·셀룰로스 판매↑\""""",http://biz.chosun.com/site/data/html_dir/2018/10/25/2018102502376.html,"등 지난해
3 분기 대비
3 분기 매출 액
매출 액 전방 수요
회복
증가 , 판
대비 면서
면서 3 분기
판매량 증가
대비 고",004000,2018-10-25
[특징주] 신동빈 회장 석방 롯데株 동반 상승,http://biz.chosun.com/site/data/html_dir/2018/10/08/2018100800904.html,"신 회장
대신 증권 연구원
회장 경영
경영 복귀
복귀 이후
주목 필요
필요 며
며 현재
및 화학
화학 부문",004000,2018-10-08
"롯데 화학 4사, 중국 차이나플라스 2018 참가",http://biz.chosun.com/site/data/html_dir/2018/04/23/2018042301098.html,"4 사의 전시관
전시관 통합
영상
자동차 존 , 삶
삶 모든
지속 삶
제품 선
선 의료 산업 존
화학 계 열사
계 열사 이번",004000,2018-04-23
"롯데정밀화학, 1분기 영업익 498억…전년보다 125.3% 증가",http://biz.chosun.com/site/data/html_dir/2018/04/20/2018042002562.html,"롯데 정밀 화학 관계자
관계자 가성소다 ,
가성소다 , 피클 로 ( ECH )
피클 로 ( ECH ) 전방 산업
전방 산업 수요
국제
가격
건축 용 첨가제
메셀 로스 의약 용 캡슐
의약 용 캡슐 원료",004000,2018-04-20
"OCI·LG화학·한화케미칼, 중국 환경규제 강화 반사이익보나",http://biz.chosun.com/site/data/html_dir/2018/03/30/2018033001846.html,"쌀 로
등 소재 ),
재료
폼 제조
사용 ) 등
볼 것
초 톤
수혜 볼
정부 석탄
석탄 채굴",004000,2018-03-30
10대그룹 사외이사 3명 중 1명은 권력기관 출신…롯데가 가장 많아,http://biz.chosun.com/site/data/html_dir/2018/03/12/2018031201623.html,"공정위 사무 처
장관 겸
이재원 전
박용석 전
변동 걸 전
전 서울 중앙 지방법원 ,
회장 등
재벌
선임 재 선임
중 부처",004000,2018-03-12
"정유·화학, 산업부 출신 사외이사 바람…홍석우·김정관·조석·우태희 영입",http://biz.chosun.com/site/data/html_dir/2018/03/06/2018030602188.html,"주총 의안
신규 선임 주총
허은녕 서울대
에너지 분야
분야 우리
기업 더
경험
전문
출신 정유 화학
정유 화학 이사회",004000,2018-03-07
"태양광 사업 파산·매각·철수…롯데·SK·현대중공업, 구조조정에 팔걷어",http://biz.chosun.com/site/data/html_dir/2018/02/23/2018022302560.html,"재계
재계 관계자
관계자 태양광
대기업
철수
무역 규제
태양광 모듈
2016 년 파산보호
파산보호 신청
신청 하자",004000,2018-02-25
"[특징주] 롯데그룹주, 신동빈 회장 구속 소식에 동반 하락세",http://biz.chosun.com/site/data/html_dir/2018/02/14/2018021400915.html,"전날
전날 서울중앙지법
부장 판사 ) 뇌물
공 혐의
혐의 기소
기소 신
회장 징역
징역 2 년
2 년 6 개월
6 개월 실형",004000,2018-02-14
"롯데정밀화학, 2017년 영업이익 1111억…\염소·셀룰로스 계열 제품 수익성 개선\""""",http://biz.chosun.com/site/data/html_dir/2018/01/25/2018012502219.html,"계열 제품
롯데 정밀 화학 관계자
관계자 지난해
지난해 실적
계열 ECH 와
ECH 와 가성소다
가성소다 수급
수급 개선
계열 메셀 로스 ,
메셀 로스 , 애니 코트",004000,2018-01-25
"롯데정밀화학, 지난해 영업이익 1111억원...전년比 274.1% 늘어",http://biz.chosun.com/site/data/html_dir/2018/01/25/2018012501560.html,"롯데 정밀 화학 ( 004000 ) 은 지난해
지난해 영업 이익
영업 이익 1111 억원
1111 억원 2016 년
매출 1 조 1595 억원
1 %
25 일
순이익
순이익 892 억원",004000,2018-01-25
"\롯데정밀화학, 염소계열 판가인상 덕볼 것…목표가 상향\"" - 신한""",http://biz.chosun.com/site/data/html_dir/2018/01/16/2018011600549.html,"지난해 4 분기
차이
차이 지난해
4 분기 톤
톤 150 달러 ( 통상
150 달러 ( 통상 40 ~ 50 달러 ) 까지
40 ~ 50 달러 ) 까지 확대 며
확대 며
시장 가격
가격 대비",004000,2018-01-16
"롯데, 無스펙전형 100명 뽑는다",http://biz.chosun.com/site/data/html_dir/2018/10/18/2018101800927.html,"회사
회사 롯데 백화점 ,
롯데 백화점 , 롯데 e 커머스 ,
롯데 e 커머스 , 코리아세븐 ,
코리아세븐 , 롯데 건설 ,
롯데 건설 , 롯데 케미칼 ( 011170 ),
롯데 케미칼 ( 011170 ), 롯데 정보 통신 ( 286940 ) 등
롯데 정보 통신 ( 286940 ) 등 16 개
16 개 계열 사이 ,
채용 인원",286940,2018-10-18
"롯데제과, 미얀마 1위 제빵회사 '메이슨' 769억원에 인수",http://biz.chosun.com/site/data/html_dir/2018/10/23/2018102302677.html,"미얀마 최근
최근 각종
각종 시설
시설 도입
도입 외국인
외국인 투자
투자 비중
경제
동남아 핵심
핵심 소비 층",280360,2018-10-23
롯데 50兆 투자...신동빈 경영스타일 '안정'보다 '도전',http://biz.chosun.com/site/data/html_dir/2018/10/23/2018102301921.html,"신 회장
일각 롯데
온 화학
화학 유통
부문 두
두 축
축 영역
영역 확장
확장 시도
회장 아버지",280360,2018-10-23
'몽쉘·바나나우유·맥심카페'…전문매장 키우는 식품업계,http://biz.chosun.com/site/data/html_dir/2018/10/12/2018101201299.html,"대중
관계자
디저트 전문
경험
점 홍보
층 물론
물론 장수
장수 제품
공략 수
식감",280360,2018-10-12
[특징주] 신동빈 회장 석방 롯데株 동반 상승,http://biz.chosun.com/site/data/html_dir/2018/10/08/2018100800904.html,"신 회장
대신 증권 연구원
회장 경영
경영 복귀
복귀 이후
주목 필요
필요 며
며 현재
및 화학
화학 부문",280360,2018-10-08
신격호 '2126억원 증여세 불복 소송' 내달 개시...항소심 선고 변수될까,http://biz.chosun.com/site/data/html_dir/2018/09/27/2018092701937.html,"법조 및
4 부 ( 재판 조미 연 )
조미 연 )
26 일 오전
오전 10 시반
10 시반 B 203 호
B 203 호 법정
법정 신
첫 변론 준비 기일
신격호 ( 96 사진 ) 롯데 그룹",280360,2018-09-27
"“롯데제과, 유상증자와 자산가치 변동으로 목표주가 하향” - 하나",http://biz.chosun.com/site/data/html_dir/2018/09/10/2018091000552.html,"심은주 연구원
연구원 아직
아직 롯데 지주
기존 연결
연결 자회사
자회사 롯데
롯데 인디아 ( 인도 ),
인디아 ( 인도 ), 비비 카 ( 베트남 ),
비비 카 ( 베트남 ), 롯데
롯데 차이나",280360,2018-09-10
'앙빠' 인기에 빠다코코낫 매출 30% 증가…입소문 타고 제2의 전성기,http://biz.chosun.com/site/data/html_dir/2018/08/30/2018083004087.html,"트렌드 분석
분석 시스템
통해 앙빠
면서 최근
앙빠 레시피
레시피 제품
빠다 코코 낫 장수
장수 제품
취식
여성 고",280360,2018-08-30
"급여 반납한 신동빈 롯데 회장, 전년대비 연봉 83% 줄어들듯",http://biz.chosun.com/site/data/html_dir/2018/08/23/2018082301891.html,"2 억원 안팎
전날 재판
재판 롯데 그룹
현 상황
상황 너무
너무 며
사업
사기 크게
크게 저하 고
뇌물 공 혐의",280360,2018-08-23
로봇이 피자 배달…생활 속에 스며드는 푸드테크,http://biz.chosun.com/site/data/html_dir/2018/08/15/2018081501126.html,"1 시간 동안
민 명기
민 명기 롯데 제과
롯데 제과 대표이사
대표이사 식품
식품 시장
시장 유행
유행 확산
지속 기간
추세",280360,2018-08-15
"광고업계, 파워블로거 지고 'SNS 유명인사' 뜬다",http://biz.chosun.com/site/data/html_dir/2018/08/10/2018081002377.html,"제일기획 관계자
관계자 왕홍
웨이보 , 위챗 ,
계정 모바일
모바일 생방송
생방송 플랫폼
플랫폼 등
콘텐츠 기획
기획 방식
방식 마케팅",280360,2018-08-10
"롯데제과, 미래 식품 트렌드 예측하는 인공지능 '엘시아' 도입",http://biz.chosun.com/site/data/html_dir/2018/08/08/2018080800846.html,"미래 식품
2 년
수천 건의
건의 소셜
소셜 데이터 ,
정보 , 날씨 ,
날씨 , 연령 ,
연령 , 지역별
지역별 소비
소비 흐름",280360,2018-08-08
"바나나맛 메로나, 수박바맛 껌…옷 바꿔입은 장수제품 인기",http://biz.chosun.com/site/data/html_dir/2018/08/05/2018080500372.html,"빙그레 관계자
상품 인기
인기 끌 기도
매출 가장
가장 며
며 변형
제품 생산량
생산량 원조 제품
볼 때
때 기존",280360,2018-08-05
"공정거래법 강화 조치에…재계 \예상했지만 과도\""""",http://biz.chosun.com/site/data/html_dir/2018/07/30/2018073002134.html,"관계자 특위
특위 신규
지주사 의무 분율
규제 것
기존 지주사
지주사 부담
부담 한층
한층 준
분율 확대
확대 대상",280360,2018-07-30
불볕더위마다 주목받지만…폭염 수혜주 롤러코스터 주의보,http://biz.chosun.com/site/data/html_dir/2018/07/24/2018072401981.html,"수 며
오현 석 삼성 증권
삼성 증권 리서치 센터
리서치 센터 특정
특정 시즌
시즌 각광
각광 테마주
실적 기업
본격 때
때 폭염",280360,2018-07-25
"[조회답변] 롯데제과 \롯데지주 대상 유상증자, 확정된 바 없어\""""",http://biz.chosun.com/site/data/html_dir/2018/07/10/2018071002833.html,"롯데 제과 ( 280360 ) 이
이 회사
3 월 언론
면서 추후
시점
것 10 일",280360,2018-07-10
퇴근 당기고 회식 없애고…근로시간 단축 막바지 준비,http://biz.chosun.com/site/data/html_dir/2018/06/28/2018062801824.html,"정부
처벌
경우 서버
서버 다운 ,
다운 , 해킹
해킹 등
사정
확대 , 탄력 선택
기간 확대
등 근본",280360,2018-06-28
"롯데지주, 제과·칠성음료 지분 20% 확보...신동빈 지분 10% 넘어서",http://biz.chosun.com/site/data/html_dir/2018/06/21/2018062103068.html,"정혁진
연구원 추가
금산분리 규제
규제 보유
보유 수
분 정리
정리 방안
21 일
보통주 현물
현물 출자 ,",280360,2018-06-21
"'브랜드 수수료' 사라진 롯데제과, 부진 털고 체질개선 속도",http://biz.chosun.com/site/data/html_dir/2018/05/22/2018052200998.html,"해외 건 사
건 사 대한
대한 가치
최근
인수 금액 합리 일
합리 일 경우
경우 시장
시장 우려 대비
석 폭
폭 작",280360,2018-05-22
"롯데제과, 명동 롯데면세점에 '길리안 카페' 2호점 열어",http://biz.chosun.com/site/data/html_dir/2018/05/17/2018051702198.html,"카페 김은혜
10 월 잠실
롯데 월드 쇼핑 동
쇼핑 동 1 ,
성공
상품 브랜드
브랜드 중심
중심 브랜드
브랜드 성격
이미지 대화",280360,2018-05-17
"롯데지주, 1분기 영업이익 756억원... 매출 2조1909억원",http://biz.chosun.com/site/data/html_dir/2018/05/15/2018051501833.html,"지난해 10 월
10 월 롯데 제과 ( 280360 ),
롯데 제과 ( 280360 ), 롯데 쇼핑 ( 023530 ),
롯데 쇼핑 ( 023530 ), 롯데 칠성 음료 ( 005300 ),
롯데 칠성 음료 ( 005300 ), 롯데 푸드 ( 002270 ) 를
롯데 푸드 ( 002270 ) 를 투자 회사
투자 회사 사업 회사
사업 회사 인적 분할
인적 분할 뒤
뒤 롯데 제과",280360,2018-05-15
"일부 기업 총수들, 회사 실적 줄어도 연봉은 늘어",http://biz.chosun.com/site/data/html_dir/2018/04/03/2018040302338.html,"작년 보수
평균 임금
정몽구
회장 , 이웅 열
분쟁 2015 년
2015 년 2016 년
작년 본격
본격 일
일 양국
롯데 직접",280360,2018-04-03
"신동빈 롯데 회장, 3월부터 급여 반납키로",http://biz.chosun.com/site/data/html_dir/2018/04/03/2018040301519.html,"롯데 그룹 관계자
지난 2 월
3 일
회장 수감
수감 상황
상황 연봉
며 이
월급 일인 지난달
지난달 21 일
21 일 신",280360,2018-04-03
신동빈 회장 재벌총수 연봉킹…7개회사서 152억원 받아,http://biz.chosun.com/site/data/html_dir/2018/04/02/2018040202385.html,"삼성 전자 부회장
등 총
순위 17 위인
17 위인 LS 그룹
LS 그룹 구자용
, 구자엽
구자균 LS 산전
LS 산전 회장
등 9 개
등재 ,",280360,2018-04-02
롯데 꼬깔콘에 동원참치 레시피 담은 제품 출시,http://biz.chosun.com/site/data/html_dir/2018/03/20/2018032001291.html,"출시 이후 ,
누적 판매량
레시피 꼬깔콘
고추 참치 모짜렐라
모짜렐라 치즈
치즈
전자레인지
고추 참치 피자 ,
피자 , 참치
부숴",280360,2018-03-20
10대그룹 사외이사 3명 중 1명은 권력기관 출신…롯데가 가장 많아,http://biz.chosun.com/site/data/html_dir/2018/03/12/2018031201623.html,"공정위 사무 처
장관 겸
이재원 전
박용석 전
변동 걸 전
전 서울 중앙 지방법원 ,
회장 등
재벌
선임 재 선임
중 부처",280360,2018-03-12
"롯데제과, 마곡연구소 지분 일부 롯데쇼핑에 매도",http://biz.chosun.com/site/data/html_dir/2018/03/05/2018030502023.html,"롯데 제과 ( 280360 ) 서울시
서울시 강서구
강서구 마곡 중앙
마곡 중앙 201
토지 및
및 건물
건물 대한
3 % 를 계열 회사
5 일
6 % 중",280360,2018-03-05
"[단독] 신동주 \신격호 회장 지분 위임 효력 확인해달라\"" 소송 제기""",http://biz.chosun.com/site/data/html_dir/2018/02/26/2018022600939.html,"의결권 행사
행사 대한
신동빈 롯데 그룹
분 대한
회장 대한
한정 후견 결정
한편
회장 구속
구속 후
후 첫",280360,2018-02-26
'김상조 데드라인' 3월 주총 앞두고 지배구조 개편 등 바쁜 재계,http://biz.chosun.com/site/data/html_dir/2018/01/28/2018012800715.html,"권익 강화 ,
단순화 , 상생 협력 ,
상생 협력 , 일감
등 막판
나날
오너 일가
경제 관계자
지배구조 단순화
재계 치기
치기 강요",280360,2018-01-29
"롯데제과, 칼로리 부담 낮춘 아이스크림 '라이트 엔젤' 출시",http://biz.chosun.com/site/data/html_dir/2018/01/16/2018011600955.html,"파인트 제품
2 가지 형태
맛 초코 맛
초코 맛 녹차 맛 ,
아이스크림 칼로리
칼로리 3 분
3 분 1
1 수준
수준 280 로
280 로 공기밥",280360,2018-01-16
"롯데제과, 인도 아이스크림 업체 '하브모어' 1650억에 인수 완료",http://biz.chosun.com/site/data/html_dir/2018/01/09/2018010901024.html,"롯데 제과 ( 280360 ) 8 일
8 일 인도
하얏트 리젠시
리젠시 호텔
호텔 인도
공식
인수 작업
작업 마무리
시장 진출
진출 통해",280360,2018-01-09
"이낙연 총리 \기업 사기진작 적극적으로 돕겠다\""""",http://biz.chosun.com/site/data/html_dir/2018/10/29/2018102903336.html,"가운데
총리 우리
우리 경제
경제 대내 외
대내 외 여건
여건
미국 무역
무역 분쟁
대외
매우 문제 라며",004990,2018-10-29
롯데 50兆 투자...신동빈 경영스타일 '안정'보다 '도전',http://biz.chosun.com/site/data/html_dir/2018/10/23/2018102301921.html,"신 회장
일각 롯데
온 화학
화학 유통
부문 두
두 축
축 영역
영역 확장
확장 시도
회장 아버지",004990,2018-10-23
신동빈 출소 1주일...호텔롯데 상장 속도낸다,http://biz.chosun.com/site/data/html_dir/2018/10/14/2018101400944.html,"업계
관계자 롯데 그룹
차입
차입 IPO
등 통해
방법 다각
것 라며
비상 장사
것 이기 때문
때문 재상",004990,2018-10-14
"성윤모 산업장관 대한상의 첫 방문, 박용만 회장과 환담",http://biz.chosun.com/site/data/html_dir/2018/10/12/2018101201977.html,"박 회장
회장 1 1
면서 성
장관 기업
별도
당초 날
날 정 진행
날 오전
오전 참석자
참석자 규모",004990,2018-10-12
"코스피, 美부진 딛고 9일만에 상승 출발",http://biz.chosun.com/site/data/html_dir/2018/10/12/2018101201107.html,"후 미국
미국 재무부
재무부 다음
다음 주
지정
위안화 조작
조작
개인
오전 9 시
현지 시각 )",004990,2018-10-12
"신동빈 롯데 회장 \미안한 마음...이제 직원들과 롯데 지키겠다\""""",http://biz.chosun.com/site/data/html_dir/2018/10/11/2018101104089.html,"롯데 도전
도전 성공
성공 역사
한번 힘
내 주시
주시 부탁
부탁 며
며 제
임 직원 여러분
여러분 롯데",004990,2018-10-11
"롯데케미칼, 호텔롯데에 롯데지주·롯데알미늄 지분 전량 매각",http://biz.chosun.com/site/data/html_dir/2018/10/11/2018101102809.html,"롯데 케미칼 ( 011170 ) 은 상호 출자
호텔 롯데 처분 고
처분 고 11 일
주식 13 만 6908 주도
처분 후
후 분율",004990,2018-10-11
"신동빈, 출소 닷새만에 2조 들여 케미칼 지주사 편입...'日 영향력 벗어났다'",http://biz.chosun.com/site/data/html_dir/2018/10/10/2018101003183.html,"분 중
롯데 케미칼 지주사
롯데 지주 관계자
관계자 롯데 케미칼
지주사 편입
통해 그룹
그룹 지주
지주 체제
체제 더욱
것 물론 ,",004990,2018-10-10
"롯데지주, 1165만7000주 감자 결정…자기주식 소각",http://biz.chosun.com/site/data/html_dir/2018/10/10/2018101002875.html,"롯데 지주 ( 004990 ) 1165 만 7000 주
1165 만 7000 주 대한
대한 감자
감자 결정
결정 10 일
수 1 억 1656 만 6237 주
1 억 1656 만 6237 주 1 억 490 만 9237 주로",004990,2018-10-10
"롯데지주, 2조2274억원 규모 롯데케미칼 지분 양수 결정",http://biz.chosun.com/site/data/html_dir/2018/10/10/2018101002861.html,"롯데 지주 ( 004990 ) 지배구조
지배구조 개편
개편 통한
제 위해
2 조 2274 억원 양수
양수 결정
결정 10 일",004990,2018-10-10
[특징주] 신동빈 회장 석방 롯데株 동반 상승,http://biz.chosun.com/site/data/html_dir/2018/10/08/2018100800904.html,"신 회장
대신 증권 연구원
회장 경영
경영 복귀
복귀 이후
주목 필요
필요 며
며 현재
및 화학
화학 부문",004990,2018-10-08
신동빈 롯데 회장 석방...지배구조 개선·호텔롯데 상장 기대감,http://biz.chosun.com/site/data/html_dir/2018/10/05/2018100503065.html,"계열 사의 지주사
금융 계 열사
지주사 전환
관계자 그동안
그동안 지배구조
검찰 조사
조사 등
등 속도
앞 화학
화학 건설",004990,2018-10-05
"롯데, 강진 피해 인도네시아에 구호성금 2억2천만원 지원",http://biz.chosun.com/site/data/html_dir/2018/10/03/2018100300626.html,"이번 피해 지역
피해 지역 인도네시아
가장 낙후
낙후 지역
수습 더욱
인도네시아 인명 재산
인명 재산 피해
만큼 ,
지원이
현지 법인",004990,2018-10-03
롯데 '10조원 M&A;' 올스톱...신동빈 2심 선고에 촉각,http://biz.chosun.com/site/data/html_dir/2018/10/02/2018100202011.html,"회장 지난
기회
저 제
제 가족
가족 일로
일로 사회
송구 며
며 그룹
어려움
다시",004990,2018-10-02
"박용만 회장 \기업 역동성이 국가재정에 중요\""…국세청장에 9가지 건의""",http://biz.chosun.com/site/data/html_dir/2018/10/01/2018100100931.html,"확충
확대 수출
중소기업 부가가치세
부가가치세 조기 지급
조기 지급 확대
확대 해외진출
세 정상 우대
정상화
대한 통합
통합 정기",004990,2018-10-01
"[마켓뷰] 연휴 앞두고 연일 훈풍…코스피, 2340선 목전",http://biz.chosun.com/site/data/html_dir/2018/09/21/2018092102153.html,"20 일 ( 현지 시각 )
주요
주요 교역 국
교역 국 수입품
수입품 대한
관세 부과
미국 견제
견제 국내
국내 소비
진작 계획",004990,2018-09-21
"[마켓뷰] 또 전강후약…코스피, 외인·기관 쌍끌이 매도에 뒷걸음질",http://biz.chosun.com/site/data/html_dir/2018/09/11/2018091102222.html,"무역 분쟁 대한
10 일 ( 현지 시각 )
시각 ) 김정은
김정은 북한
2 차
개최 대한
날 남북
남북 13 일
13 일 판문점
공동 유해 발굴 판문점",004990,2018-09-11
"인도네시아 대통령 \4차 산업혁명 함께 대응하자\""""",http://biz.chosun.com/site/data/html_dir/2018/09/10/2018091001203.html,"조코 위도
위도 대통령
대통령 기조 강연
혁명
선진국
것 며
며 약
스마트폰 발전
발전 미국
미국 아이폰",004990,2018-09-10
"황각규 롯데부회장, 인도네시아 대통령과 상호협력 방안 논의",http://biz.chosun.com/site/data/html_dir/2018/09/10/2018091001068.html,"육성 지원
지원 등
협력
관심
시기 고
10 일 소공동
조코 위도
대통령
진출 현황
현황 상호 협력 ,",004990,2018-09-10
"“롯데제과, 유상증자와 자산가치 변동으로 목표주가 하향” - 하나",http://biz.chosun.com/site/data/html_dir/2018/09/10/2018091000552.html,"심은주 연구원
연구원 아직
아직 롯데 지주
기존 연결
연결 자회사
자회사 롯데
롯데 인디아 ( 인도 ),
인디아 ( 인도 ), 비비 카 ( 베트남 ),
비비 카 ( 베트남 ), 롯데
롯데 차이나",004990,2018-09-10
"'미완의 지주사' 롯데, 케미칼 품에 안나...금융사 맞교환 유력",http://biz.chosun.com/site/data/html_dir/2018/09/07/2018090700685.html,"업계
관계자 롯데 케미칼
롯데 케미칼 상 장사 이기
상 장사 이기 때문
때문 금융 사
대한 결정
회장 대한
대한 2 심
선고 이후
승인",004990,2018-09-07
"롯데그룹, 全계열사에 상생결제 도입...협력사 조기 현금화 가능",http://biz.chosun.com/site/data/html_dir/2018/08/27/2018082702436.html,"상생 결제 대기업
발행 , 조기
모든 협력
협력 대기업
대기업 수준
수준
할인 율
할인 율 납품 대금
납품 대금 조기
현금화 수",004990,2018-08-27
"급여 반납한 신동빈 롯데 회장, 전년대비 연봉 83% 줄어들듯",http://biz.chosun.com/site/data/html_dir/2018/08/23/2018082301891.html,"2 억원 안팎
전날 재판
재판 롯데 그룹
현 상황
상황 너무
너무 며
사업
사기 크게
크게 저하 고
뇌물 공 혐의",004990,2018-08-23
저소득층에 전달된 롯데 '플래저박스'...3만박스 넘었다,http://biz.chosun.com/site/data/html_dir/2018/07/30/2018073001941.html,"롯데 지주 ( 004990 ) 관계자
지역
상황
육아 품앗이
품앗이 활동
활동
강원도
서해 최 북단
최 북단 백령도 울릉도
백령도 울릉도 나리분지",004990,2018-07-30
"[단독] 신격호 회장 前 소유 한남동 건물 117억원에 매각…\차명재산 정리\""""",http://biz.chosun.com/site/data/html_dir/2018/07/19/2018071902247.html,"고리 중
관계자 해당
해당 건물
차 재산 비상 장사 이자
비상 장사 이자 순환 출자
순환 출자 주요
주요 고리
중 하나
회사
회사 것 라며",004990,2018-07-20
"[투자노트] 기업 쪼갠 덕에 불어난 자산…韓증시, 'PBR 1배' 확실합니까",http://biz.chosun.com/site/data/html_dir/2018/07/11/2018071100437.html,"기업 분할
그대로 경우
BGF 리테일 오히려
오히려 시총
시총
),
점점 더
회사 쪼갰더
지난
금융위기 2011 년",004990,2018-07-11
韓日 롯데 신동빈 원톱체제 공고...'형제의 난' 사실상 종결,http://biz.chosun.com/site/data/html_dir/2018/06/29/2018062901406.html,"경영 복귀
황각규 부회장
모임
모임 사이트
사이트 통해
롯데 대표자
대표자 유죄
것 그룹
그룹 70 년
70 년 역사상",004990,2018-06-29
日 롯데 신동빈 지지…신동주 또 '완패'(종합),http://biz.chosun.com/site/data/html_dir/2018/06/29/2018062901308.html,"롯데 그룹 관계자
회장 지난
관계자 한국 롯데
한국 롯데 신동빈
회장 부재
경영 진 대해
다시 한번
한번 지지
것 대해
대해 다행",004990,2018-06-29
